IMAGEN,ORIGINAL,PIPELINE,DIFERENCIA
001,100,100,0
002,88,88,0
003,75,100,25
004,88,90,2
005,67,54,-13
006,0,100,100
007,100,100,0
008,100,100,0
009,100,100,0
010,28,97,69
011,100,100,0
012,82,100,18
013,100,100,0
014,70,90,20
015,100,100,0
016,88,88,0
017,97,97,0
018,91,91,0
019,0,100,100
020,100,100,0
021,33,65,32
022,100,100,0
023,65,100,35
024,0,100,100
025,86,86,0
026,100,100,0
027,17,100,83
028,100,100,0
029,49,85,36
030,100,100,0
031,86,100,14
032,100,100,0
033,100,100,0
034,100,100,0
035,100,100,0
036,88,100,12
037,100,100,0
038,100,100,0
039,91,91,0
040,100,100,0
041,100,100,0
042,100,100,0
043,88,100,12
044,100,100,0
045,51,63,12
046,100,100,0
047,100,100,0
048,100,100,0
049,98,100,2
050,100,100,0
051,85,100,15
052,83,75,-8
053,98,93,-5
054,76,84,8
055,100,100,0
056,90,100,10
057,62,100,38
058,100,100,0
059,88,100,12
060,64,95,31
061,0,100,100
062,100,100,0
063,100,100,0
064,100,100,0
065,0,30,30
066,59,52,-7
067,89,100,11
068,74,100,26
069,100,100,0
070,100,100,0
071,65,78,13
072,88,88,0
073,100,100,0
074,96,98,2
075,100,100,0
076,100,100,0
077,100,100,0
078,72,100,28
079,100,100,0
080,62,87,25
081,100,100,0
082,28,100,72
083,100,100,0
084,100,100,0
085,0,100,100
086,100,88,-12
087,86,86,0
088,0,0,0
089,85,100,15
090,100,100,0
091,100,100,0
092,82,82,0
093,100,100,0
094,0,46,46
095,0,30,30
096,79,100,21
097,100,100,0
098,83,100,17
099,100,100,0
100,19,26,7
