IMAGEN,PIPELINE,PORCENTAJE DE SIMILITUD,TEXTO ORIGINAL,TEXTO DETECTADO,TIEMPO(PIPELINE INDIVIDUAL + OCR + VALIDACION),,
1,original,100,JAIR NICOLAS RODRIGUEZ OSORIO,"JAIR NICOLAS
RODRIGUEZ OSORIO",2.10256500800006,,
1,"solarize
enhance_basic_sharpness
crop_morphology
clean_imagemagic
posterize",24,JAIR NICOLAS RODRIGUEZ OSORIO,"3
…u
0
m
,N
.…
A
J",3.92651336299969,,
1,"crop_morphology
posterize
clean_imagemagic
solarize
enhance_basic_sharpness",0,JAIR NICOLAS RODRIGUEZ OSORIO,,3.76428544099963,,
1,"enhance_basic_sharpness
solarize
posterize
crop_morphology
clean_imagemagic",0,JAIR NICOLAS RODRIGUEZ OSORIO,,5.15706266299912,,
1,"posterize
clean_imagemagic
crop_morphology
solarize
enhance_basic_sharpness",0,JAIR NICOLAS RODRIGUEZ OSORIO,,4.46774879399891,,
1,"solarize
clean_imagemagic
posterize
enhance_basic_sharpness
crop_morphology",0,JAIR NICOLAS RODRIGUEZ OSORIO,,5.91991313299968,,
1,"posterize
enhance_basic_sharpness
solarize
clean_imagemagic
crop_morphology",0,JAIR NICOLAS RODRIGUEZ OSORIO,,4.29354158800106,,
1,"solarize
posterize
crop_morphology
clean_imagemagic",0,JAIR NICOLAS RODRIGUEZ OSORIO,,4.85042296700067,,
1,"solarize
posterize
enhance_basic_sharpness
crop_morphology",34,JAIR NICOLAS RODRIGUEZ OSORIO,"S©©AM©S©
. o a u . e o",2.97478678800053,,
1,"enhance_basic_sharpness
crop_morphology
clean_imagemagic",71,JAIR NICOLAS RODRIGUEZ OSORIO,"RODRIGUEZ OSORIO

-_r———-———º—* -—_-

 

...—.... --.--.--,
lv- .…-.________
| _ .... .—..——.—_E

.. …- .--—c.…--",4.30671581500064,,
1,"posterize
enhance_basic_sharpness
clean_imagemagic",0,JAIR NICOLAS RODRIGUEZ OSORIO,,3.10343070800081,,
1,"clean_imagemagic
posterize
enhance_basic_sharpness
solarize
crop_morphology",51,JAIR NICOLAS RODRIGUEZ OSORIO,"_4

|
0
:
¡-
.

RODRIGUEZ OSOR|O

___—___.
.— u...—.. ...n o- -03.'
. . .- .

.
-..—_. --:.———-—
._.—4

on...—

__“…",5.82886982899981,,
1,"clean_imagemagic
solarize
enhance_basic_sharpness
posterize
crop_morphology",0,JAIR NICOLAS RODRIGUEZ OSORIO,,4.57874040599927,,
1,"solarize
posterize
crop_morphology
clean_imagemagic
enhance_basic_sharpness",0,JAIR NICOLAS RODRIGUEZ OSORIO,,5.56803477599988,,
1,"clean_imagemagic
posterize
solarize
crop_morphology
enhance_basic_sharpness",0,JAIR NICOLAS RODRIGUEZ OSORIO,,4.63756123100029,,
1,"clean_imagemagic
enhance_basic_sharpness
posterize
solarize
crop_morphology",0,JAIR NICOLAS RODRIGUEZ OSORIO,,4.58149228299953,,
1,"clean_imagemagic
enhance_basic_sharpness
solarize
posterize
crop_morphology",0,JAIR NICOLAS RODRIGUEZ OSORIO,,4.78434912400098,,
1,"solarize
posterize
enhance_basic_sharpness",27,JAIR NICOLAS RODRIGUEZ OSORIO,"S©©AM©S©
.w9lc.oau.co",1.49096479499985,,
1,"clean_imagemagic
solarize
enhance_basic_sharpness
crop_morphology
posterize",0,JAIR NICOLAS RODRIGUEZ OSORIO,,4.40579544299999,,
1,"posterize
clean_imagemagic
crop_morphology
enhance_basic_sharpness
solarize",0,JAIR NICOLAS RODRIGUEZ OSORIO,,4.52320161099942,,
1,"posterize
clean_imagemagic
enhance_basic_sharpness
crop_morphology
solarize",0,JAIR NICOLAS RODRIGUEZ OSORIO,,4.37914972399994,,
1,"posterize
enhance_basic_sharpness
solarize
crop_morphology
clean_imagemagic",0,JAIR NICOLAS RODRIGUEZ OSORIO,,4.74401233500066,,
1,"posterize
solarize
enhance_basic_sharpness
crop_morphology
clean_imagemagic",0,JAIR NICOLAS RODRIGUEZ OSORIO,,4.49414164900009,,
1,"crop_morphology
enhance_basic_sharpness
posterize
solarize
clean_imagemagic",97,JAIR NICOLAS RODRIGUEZ OSORIO,"JAIR NICOLAS
' ODRIGUEZ_ OSORIO",4.03131682700041,,
1,"crop_morphology
enhance_basic_sharpness
clean_imagemagic
solarize
posterize",0,JAIR NICOLAS RODRIGUEZ OSORIO,,4.13200498300012,,
